,file,sn_name,band,ra,dec,total_epochs,t_mean_first,t_mean_last,disc_date,epochs_pre_disc,epochs_post_disc,t_delta_first,t_delta_last,t_delta_next
2,Aki-FUV.fits.gz,Aki,FUV,334.0044875,-17.622802777777782,96,2003-08-30,2008-08-22,2006-06-19,48,48,-1024.0,796.0,42.0
3,Aki-NUV.fits.gz,Aki,NUV,334.0044875,-17.622802777777782,109,2003-08-30,2009-09-21,2006-06-19,55,54,-1024.0,1191.0,42.0
15,Caleb-NUV.fits.gz,Caleb,NUV,218.11978333333332,33.536125,39,2005-05-22,2007-04-29,2005-12-12,13,26,-204.0,504.0,123.0
16,Cayanne-FUV.fits.gz,Cayanne,FUV,189.36295833333332,62.20213333333334,82,2004-01-25,2008-05-20,2004-08-27,44,38,-214.0,1362.0,545.0
17,Cayanne-NUV.fits.gz,Cayanne,NUV,189.36295833333332,62.20213333333334,131,2004-01-25,2011-03-09,2004-08-27,77,54,-214.0,2386.0,233.0
36,Eagle-FUV.fits.gz,Eagle,FUV,189.33645833333333,62.228194444444455,82,2004-01-25,2008-05-20,2004-11-06,44,38,-285.0,1291.0,474.0
37,Eagle-NUV.fits.gz,Eagle,NUV,189.33645833333333,62.228194444444455,131,2004-01-25,2011-03-09,2004-11-06,77,54,-285.0,2315.0,162.0
39,Emma-NUV.fits.gz,Emma,NUV,218.62557916666668,34.44924722222222,38,2005-05-22,2009-03-23,2006-04-22,13,25,-335.0,1066.0,17.0
40,ESSENCEf123-FUV.fits.gz,ESSENCEf123,FUV,32.488675,-3.5407247222222216,3,2003-11-21,2007-11-01,2003-12-01,1,2,-9.0,1432.0,1084.0
41,ESSENCEf123-NUV.fits.gz,ESSENCEf123,NUV,32.488675,-3.5407247222222216,10,2003-11-21,2010-12-07,2003-12-01,1,9,-9.0,2564.0,1084.0
46,ESSENCEg097-FUV.fits.gz,ESSENCEg097,FUV,351.9048333333333,-9.589166666666667,7,2003-08-24,2008-09-07,2004-10-05,3,4,-408.0,1433.0,357.0
47,ESSENCEg097-NUV.fits.gz,ESSENCEg097,NUV,351.9048333333333,-9.589166666666667,16,2003-08-24,2010-09-25,2004-10-05,3,13,-408.0,2182.0,357.0
48,ESSENCEg133-FUV.fits.gz,ESSENCEg133,FUV,32.45679166666667,-4.181972222222223,4,2003-11-21,2007-11-01,2004-09-18,1,3,-301.0,1140.0,792.0
49,ESSENCEg133-NUV.fits.gz,ESSENCEg133,NUV,32.45679166666667,-4.181972222222223,42,2003-11-21,2010-12-07,2004-09-18,1,41,-301.0,2272.0,792.0
50,ESSENCEg142-FUV.fits.gz,ESSENCEg142,FUV,352.1570833333333,-8.751111111111111,6,2004-09-03,2006-10-16,2004-10-09,2,4,-35.0,738.0,353.0
51,ESSENCEg142-NUV.fits.gz,ESSENCEg142,NUV,352.1570833333333,-8.751111111111111,10,2004-09-03,2010-09-25,2004-10-09,2,8,-35.0,2178.0,353.0
52,ESSENCEg225-FUV.fits.gz,ESSENCEg225,FUV,351.815375,-9.46661111111111,4,2003-08-24,2008-09-07,2004-10-17,1,3,-420.0,1421.0,729.0
53,ESSENCEg225-NUV.fits.gz,ESSENCEg225,NUV,351.815375,-9.46661111111111,13,2003-08-24,2010-09-25,2004-10-17,1,12,-420.0,2170.0,729.0
